,AuthId,Catch_01,Catch_02,Catch_03,Decenter_01,Decenter_02,Decenter_03,Decenter_04,Decenter_05,Decenter_06,Decenter_07,Decenter_08,Decenter_09,Decenter_10,Decenter_11,Decenter_12,Decenter_13,Decenter_14,Decenter_15,Decenter_total,Domain1,Domain2,Domain3,Domain4,Domain5,FFMQ_01,FFMQ_02,FFMQ_03,FFMQ_04,FFMQ_05,FFMQ_06,FFMQ_07,FFMQ_08,FFMQ_09,FFMQ_10,FFMQ_11,FFMQ_12,FFMQ_13,FFMQ_14,FFMQ_15,FFMQ_ActingwAwareness,FFMQ_Describing,FFMQ_NonJudging,FFMQ_NonReactivity,FFMQ_Observing,FFMQ_total,FirstGeneration,PSS_01,PSS_02,PSS_03,PSS_04,PSS_05,PSS_06,PSS_07,PSS_08,PSS_09,PSS_10,PSS_total,PersonalWB_01,PersonalWB_02,PersonalWB_03,PersonalWB_04,PersonalWB_05,PersonalWB_06,PersonalWB_07,PersonalWB_08,PersonalWB_09,PersonalWB_10,PersonalWB_11,PersonalWB_Anger,PersonalWB_Anxiety,PersonalWB_Happiness,PersonalWB_SWLS,PersonalWB_Sadness,Reappraisal_01,Reappraisal_02,Reappraisal_03,Reappraisal_04,Reappraisal_05,Reappraisal_06,Reappraisal_07,Reappraisal_08,Reappraisal_09,Reappraisal_10,Reappraisal_11,Reappraisal_12,Reappraisal_13,Reappraisal_14,Reappraisal_15,Reappraisal_16,Reappraisal_17,Reappraisal_CFI,Reappraisal_ERQ,Reappraisal_SRI,Reappraisal_total,SMM_01,SMM_02,SMM_03,SMM_04,SMM_05,SMM_06,SMM_07,SMM_08,SMM_total,SexualOrientation,SocialDomains_total,SocialWB_01,SocialWB_02,SocialWB_03,SocialWB_04,SocialWB_05,SocialWB_06,SocialWB_07,SocialWB_08,SocialWB_09,SocialWB_10,TestAnxiety_01,TestAnxiety_02,TestAnxiety_03,TestAnxiety_04,TestAnxiety_05,TestAnxiety_06,TestAnxiety_07,TestAnxiety_08,TestAnxiety_09,TestAnxiety_10,TestAnxiety_11,TestAnxiety_12,TestAnxiety_13,TestAnxiety_14,TestAnxiety_15,TestAnxiety_16,TestAnxiety_17,TestAnxiety_18,TestAnxiety_19,TestAnxiety_20,TestAnxiety_21,TestAnxiety_numberoftest,TestAnxiety_total,Time,YearofStudy,CatchSum,CorrectID
1,0BnsJeeI29bjPnVVf9ewbL1VI6p2,1,1,1,3,3,4,4,1,3,2,3,3,3,4,1,1,4,3,42,7,4,10,12,6,2,1,2,2,3,2,1,2,4,2,4,1,2,2,2,6,3,8,7,8,32,Yes,3,2,4,4,2,4,3,4,2,4,32,5,6,2,5,2,7,7,2,4,6,7,9,14,4,13,13,6,6,1,2,2,2,2,2,2,2,2,3,4,3,1,1,5,10,19,17,46,0,3,0,2,1,0,1,0,7,Bisexual,39,4,3,3,1,7,3,4,8,4,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,25,1,First year,3,45175
2,0HREe6g8RFcDyWVO6S2hlCgmZ5v2,1,1,1,4,4,4,3,2,3,3,3,3,3,3,2,2,3,2,44,2,3,6,4,13,3,2,2,3,3,4,2,3,3,3,4,2,3,4,4,8,6,10,10,11,45,Yes,1,2,4,4,2,4,2,3,3,4,29,5,3,3,3,2,6,6,3,5,5,7,8,13,5,11,11,6,6,3,4,4,4,5,3,3,3,3,3,4,4,2,2,2,17,27,17,61,0,2,0,1,1,0,0,1,5,Heterosexual or Straight,28,1,1,2,1,5,1,3,1,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,21,1,First year,3,45220
3,0hUKNGLCfNTNZl8yyNFINggT97h2,1,1,1,3,2,2,4,3,4,2,1,2,1,3,4,4,5,3,43,11,6,8,10,15,4,2,3,4,4,1,1,4,3,4,2,1,2,2,4,9,4,9,12,7,41,Yes,3,1,4,3,3,3,3,2,4,3,29,2,4,3,4,4,5,6,5,4,2,5,8,11,9,9,7,7,3,2,2,2,2,7,7,7,7,7,2,2,2,4,2,1,35,18,13,66,2,3,1,3,3,1,2,3,18,Heterosexual or Straight,50,5,6,3,3,8,0,4,6,8,7,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,25,1,First year,3,45530
4,1GajveOcPeWEX7Z3GG7xRyNt9dQ2,1,1,1,4,5,4,4,4,3,4,4,5,4,4,2,2,3,4,56,8,5,5,13,10,3,2,4,2,3,2,2,2,1,3,3,2,2,2,3,8,6,5,9,8,36,No,3,3,4,2,3,3,2,2,2,3,27,4,2,4,5,2,4,6,3,6,6,6,11,12,5,10,10,6,5,4,5,4,5,6,5,4,5,5,3,3,4,3,4,4,25,29,21,75,1,2,0,2,1,1,1,2,10,Heterosexual or Straight,41,4,4,0,5,3,2,8,5,5,5,1,2,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,3,26,1,First year,3,45352
5,20qu0Ko2zoaZn63b9ZozKdjRsr92,1,1,1,4,3,5,5,3,2,2,3,4,2,4,2,3,3,2,47,10,9,8,16,14,5,4,3,1,3,4,3,2,1,4,5,4,3,2,2,8,11,4,9,14,46,Yes,4,4,4,3,4,4,3,3,4,4,37,3,3,3,5,4,3,7,4,7,5,7,12,14,8,9,8,5,5,5,5,6,5,5,6,6,5,5,4,4,4,3,3,2,27,31,20,78,1,2,1,2,3,1,1,2,13,Heterosexual or Straight,57,5,5,5,4,4,4,7,9,7,7,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,22,1,First year,3,45294
6,212iAc7mliaC3LveDjAFUT2Hydr2,1,1,1,2,4,4,4,1,3,2,3,1,1,1,2,1,5,4,38,10,7,0,9,10,4,1,1,1,5,5,1,2,1,4,2,5,2,1,2,5,7,3,11,11,37,No,4,1,4,4,4,4,2,4,4,3,34,2,2,2,5,3,7,7,3,4,6,7,9,14,6,6,13,7,2,5,6,5,3,5,6,6,5,6,2,3,2,1,2,4,28,28,14,70,3,3,0,4,2,1,3,2,18,Heterosexual or Straight,36,4,6,5,2,0,0,8,1,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,1,First year,3,45534
7,2PCxb4uETwTb7SpjTw3OOMwTZSc2,1,1,1,1,1,1,1,1,1,3,3,3,3,3,4,3,3,3,34,18,14,18,15,20,1,3,4,5,5,2,1,4,5,3,1,1,5,1,4,13,5,11,12,4,45,Yes,3,3,3,1,3,2,2,2,2,3,24,4,4,5,1,4,6,5,4,1,4,5,2,10,8,13,10,7,7,6,7,6,7,7,7,7,7,7,4,4,4,4,4,3,35,40,23,98,3,4,2,2,2,2,2,1,18,Heterosexual or Straight,85,8,10,7,7,10,8,9,6,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,0,24,1,Second year,3,45089
8,31g2bDoPgxeoBWLgqrwdYAhUmpF2,1,1,1,4,5,3,2,4,4,3,3,3,3,2,4,4,4,4,52,17,17,17,7,19,3,3,3,4,4,1,3,4,4,3,4,4,3,4,3,10,10,12,10,8,50,No,0,3,4,1,0,3,2,2,2,3,20,7,7,7,3,7,2,6,6,5,1,5,8,11,13,21,3,7,5,6,7,6,3,6,6,3,5,3,3,4,5,2,2,2,23,34,18,75,3,3,2,1,1,1,1,3,15,Heterosexual or Straight,77,8,9,9,8,8,9,4,3,9,10,2,1,2,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2,0,30,1,Third year,3,46523
9,3E5tW7SkPfMyVlFmeG3AEhsoIYm2,1,1,1,3,3,2,2,4,1,4,2,3,3,4,2,2,4,2,41,8,6,7,5,9,3,3,2,2,3,4,2,4,3,2,4,5,3,1,1,9,10,6,6,11,42,Yes,1,2,4,3,2,3,0,3,3,1,22,2,5,3,4,4,5,6,4,3,4,5,7,11,8,10,9,6,6,2,6,5,5,7,2,6,6,6,2,2,2,4,2,4,27,30,16,73,2,3,1,2,2,2,2,2,16,Heterosexual or Straight,35,4,4,3,3,4,3,5,0,5,4,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,0,27,1,First year,3,45444
10,3SiyPY2sJJRGXBaRtqHDqsiWxbI3,1,1,1,3,4,3,4,3,2,3,3,4,4,4,4,3,2,3,49,16,15,15,16,19,4,3,3,2,4,4,1,2,2,4,4,5,2,2,4,7,9,6,12,12,46,No,2,1,3,1,1,1,1,0,2,2,14,6,6,6,5,5,4,5,6,6,3,4,11,9,11,18,7,5,6,6,5,6,6,6,6,6,6,6,3,3,4,3,3,2,30,34,18,82,0,3,1,3,1,1,1,2,12,Heterosexual or Straight,81,8,8,7,8,8,7,7,9,10,9,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,3,27,1,First year,3,45303
