,age,gender,gender_other,sexual_orien,sexual_other,Marital_status,Ethnic_identity,Ethnic_identity_other,Born_country,Eng_primary,ReligiousAffliation,ReligiousAffliation_other,Highest_education,Highest_education_other,Household_income,WBDefinition,Group_top3,Happiness_Rank,LifeSatisfaction_Rank,PhysicalHealth_Rank,MentalHealth_Rank,MeaningPurpose_Rank,CharacterVirtue_Rank,SocialRelationships_Rank,Financial_Rank,Spirituality_Rank,Education_Rank,Employment_Rank,Recreation_Rank,SelfEsteem_Rank,Family_Rank,Safety_Rank,Other_YesNo,Other_top3,PracticedMindfulness,MindfulnessOpen,StressOpen,StudyExpectation,PSS,CatchQuestions,ERQ,MPoD,SRI,PositiveMood,NegativeMood,WellbeingRating,Reappraisal,DC_awareness,DC_nonreactivity,DC_disidentification,Mindful_skill,SWLS,Extraversion,Agreeableness,Conscientiousness,Neuroticism,OpennesstoExperience,FFMQ15,FFMQ_Observing,FFMQ_Describe,FFMQ_ActingwAwareness,FFMQ_NonJudging,FFMQ_Nonreactivity,Autonomy,Competence,Relatedness,Meaning_Presence,Meaning_Search,Synchronicity,PWB,RandomID,id,BaselineDate,Condition,Time
4,22,Female,NA,Straight,NA,Single/never been married,Mixed,NA,Canada,Yes,"Non-religious, atheist, or agnostic",NA,High school,NA,"$35,000 to $49,999","Being able to put aside stresses/worries and relax properly, healthy habits, and having high self-esteem.","Self-esteem,Mental Health,Life Satisfaction",NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,No,NA,Yes,"Being able to have thoughts and worries “drift” in your mind, without focusing too hard on them. I also define it as being able to live in the present and focus on what’s going on right now, not the past nor the future. ","Feeling like there’s too much to do, and difficult challenges to overcome, and feeling like it won’t be possible to do it all in time, or fearing you’ll make a poor decision.","My expectation (and expected benefit) is that through learning these mindfulness techniques, I’ll be able to re-use what I’ve learned when it comes to stressful situations in the future. My only concern is that my mind is all over the place and I’m worried I won’t succeed in practicing the techniques properly.",39,3,31,49,36,30,26,4,67,22,15,12,1,8,3,9,8,7,10,47,14,12,7,8,6,15,14,10,12,31,17,42,9832,3406,9/6/2023,Control,1
6,17,Female,NA,Straight,NA,Single/never been married,South Asian,NA,Egypt,Yes,Hinduism,NA,High school,NA,Prefer not to answer,"Wellbeing is an accurate representation of a person in a relatively positive state, otherwise known as 'happy or healthy'.","Family,Mental Health,Financial and Material Stability",NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,No,NA,Yes,"Mindfulness is about being present to me. When I practice mindful techniques, I like being aware of every aspect of the training. ",Stress is an everyday constant in my life. I feel as though stress is a weight on me and it is something I have to carry with me.,I want to examine what effects mindfulness techniques have on an over-stressed person like myself. I also want to see if it has any positive impacts on my mindset. The only concern I have is not being able to be an appropriate subject for any of the techniques.,52,3,21,43,27,42,34,4,48,20,11,12,2,10,4,7,7,10,10,56,13,15,9,11,8,13,14,15,30,20,25,46,8298,3427,9/6/2023,Choice,1
7,17,Female,NA,Straight,NA,Single/never been married,South Asian,NA,India,Yes,Islam,NA,High school,NA,Prefer not to answer,"Wellbeing means the mental, emotional, and physical self of a person.","Education,Family,Happiness",3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,No,NA,Yes,mindfulness means exercises to ease your mind when you are under stress. ,Stress means overthinking about something which causes unnecessary worry.,I hope this training helps me with mindfulness and I do not have any concerns about this training. ,45,3,25,47,25,31,26,5,50,14,15,18,2,13,6,7,7,7,5,52,13,10,10,12,7,9,9,11,22,25,16,36,3619,3433,9/6/2023,Control,1
8,18,Male,NA,Straight,NA,Single/never been married,Southeast Asian,NA,South Korea,No,Prefer not to answer,NA,High school,NA,Prefer not to answer,"Wellbeing for me is a wellbeing of my loved ones and myself in terms of spiritual, mental, physical, and emotional aspect. Living a life searching for “well-being” or happiness won’t ultimately bring me what I’d like to call a ‘true’ happiness. Since I subjectively believe that happiness is present in just small things in our daily lives, which we don’t appreciate since we tend to seek for bigger happiness in life. But I know that people will eventually look back in the past and reminisce the happy moments in life, and come to a realization about how grateful it is to just live and be alive at the moment as we are moving towards death from the day we’re were born. ","Spirituality,Family,Meaning  and Purpose of Life",NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,2,NA,No,NA,No,"Mindfulness, just like the word itself, means to be or become aware of myself, which will help me to take full control over myself, including emotional, mental, and physical state. Practicing mindfulness meditation focuses only on my consciousness and it requires a strong focus, which allows me to think less about the unimportant things or any distressing feelings or thoughts at the moment, allowing me to stay calm. ","Stress is any unpleasant thoughts usually caused by fear of something, which is also caused by uncertainty. This also manipulates one’s emotional or physical state since when we feel anxious or stressed, we release hormones that affect our body. ",I expect to learn more about the mindfulness and techniques on managing and taking control over the emotion and probably dealing with stresses. ,34,3,31,58,21,32,14,6,52,15,20,23,1,17,7,8,8,7,6,49,10,9,11,8,11,10,12,14,34,20,15,46,5929,3409,9/6/2023,Domain,1
9,19,Female,NA,Straight,NA,Single/never been married,African,NA,United States of America,Yes,Christianity,NA,High school,NA,"$35,000 to $49,999","Wellbeing refers to your general state of mind, soul, and body.","Spirituality,Mental Health,Family",NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,No,NA,Yes,Mindfulness to me means being aware of yourself and your surroundings.,An overwhelming feeling that your situation has gone beyond your ability to cope with it.,I hope to learn more about mindfulness as I have not practiced it that much in the past.,41,3,40,91,32,22,17,5,72,27,33,31,2,19,7,3,7,7,6,54,12,14,7,6,15,15,10,15,21,31,12,46,6054,3301,9/6/2023,Choice,1
10,19,Female,NA,Straight,NA,Single/never been married,African,NA,senegal,No,Islam,NA,High school,NA,"$200,000 or more","sense of being comfortable, healthy, happy and at ease with your own life ","Spirituality,Self-esteem,Family",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,3,NA,No,NA,No,being aware of your feelings and outside factors // being open them and co-existing ,state of mental pressure caused by outside factors (that we can or not control) / anxiety ,create healthier and more sustainable mindfulness and coping mechanisms ,24,3,36,91,37,38,9,5,73,26,34,31,4,19,5,7,6,4,7,64,14,12,12,12,14,9,8,15,20,26,26,55,5206,3478,9/6/2023,Control,1
13,19,Male,NA,Straight,NA,Single/never been married,Southeast Asian,NA,Canada,Yes,Christianity,NA,High school,NA,Prefer not to answer,"Wellbeing refers to anything that impacts the quality of a person's life including their physical, mental, emotional, and financial health, security and safety.","Happiness,Close Social Relationships,Meaning  and Purpose of Life",1,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Love life,Yes,Mindfulness refers to a mental state of awareness regarding one's emotions and thoughts.,"Stress refers to stimuli that causes a person to be in a state of negative valence including emotions like anger, anxiety, frustration, worry, and fear.","I expect to be able to calm myself better, feel more relaxed and at peace, and have control over my distressing thoughts. My only concern is how much time this will take out of my day.",59,3,18,50,25,27,42,4,43,30,10,10,3,3,6,6,4,8,6,44,11,11,7,9,6,8,9,10,18,28,19,16,8827,3280,9/6/2023,Domain,1
14,19,Female,NA,Straight,NA,Single/never been married,Middle Eastern,NA,United States of America,Yes,Christianity,NA,High school,NA,Prefer not to answer,"the state of being in a positive state, happy/healthy ","Happiness,Life Satisfaction,Mental Health",1,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,being aware of everything that is going on around you and being conscious,being in a state of extreme worry and anxiety to the point were it effects your way of living ,I hope to learn how to become more mindful to help in stressful situations,43,3,29,68,26,38,23,4,55,25,23,20,4,12,4,6,4,9,7,48,12,9,10,8,9,9,7,10,23,22,6,36,7294,3496,9/6/2023,Control,1
16,19,Male,NA,Straight,NA,Single/never been married,East Asian,NA,Canada,Yes,"Non-religious, atheist, or agnostic",NA,High school,NA,"$50,000 to $74,999",To me wellbeing is the concept of being at peace with a one's mind as well as being physically healthy.,"Happiness,Meaning  and Purpose of Life,Close Social Relationships",1,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,mindfulness is being aware of the thoughts and feelings of yourself and those around you.,stress is the state of negative emotions brought on by circumstances that are viewed negatively.,I plan to gain better understanding of mindfulness and my own sense of self. I do not have any concerns about doing this training.,32,3,28,62,24,32,14,4,52,22,22,18,2,14,6,6,5,7,9,47,9,12,9,8,9,13,11,15,11,29,4,33,6123,3535,9/6/2023,Domain,1
17,18,Female,NA,Straight,NA,Single/never been married,East Asian,NA,Canada ,Yes,Prefer not to answer,NA,High school,NA,Prefer not to answer,to live a purposefully life and being able to take care of oneself,"Close Social Relationships,Family,Life Satisfaction",NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,No,NA,Yes,it means to know what you are doing and is a type of meditation in which we can focus strongly on ourselves ,when you feel like you can no longer handle anyhting,"to become more mindful and feel less stressed, I have no concerns ",49,3,27,51,23,37,20,4,50,21,14,16,3,15,6,9,3,7,7,45,8,9,8,10,10,10,9,12,17,24,31,38,1774,3487,9/6/2023,Control,1
