,Duration (in seconds),Practice_Rating,Practice_LikeDislike,Apply_Practice,BaselineDate,Condition,RandomID,id,StudyDay,CurrentDate,Positive_pre,Negative_pre,Stress_pre,Positive_post,Negative_post,Stress_post,Disidentification,Nonreactivity,Reappraisal,Satisfied,Autonomy,Relatedness,Competence,Belonging,Meaning,PosAffect,NegAffect,Stressed
2,1079,5,"I like the idea of positive reappraisal. I think it helps foster an internal locus of control, because by controlling your perception, you can control your feelings/outcomes. I think the excersise helped me reflect on my own resilience, that I could create good things out of hard times, and I hope to remember that in the next hard time. Also, i especially liked looking through a different persepective, as I chose to look from the perspective of someone else, and I think that since I can be overly critical of myself, looking through the eyes of a different person painted me in a more positive light","When I'm going through hard times, I think its usually predictable, chronic, stress. I think I can apply this mindfulness in the morning and at night when I set aside a specific time for self reflection. If I am having a hard day, I can also disengage and set time for self reflection. I think this particular practice of positive reappraisal would be good when setting goals/ planning for the next day",9/6/2023,Choice,6646,3682,1,2023-09-07T00:00:00.000Z,3,2,5,4,1,3,3,5,5,4,7,6,5,5,6,3.5,1.5,4
3,2160,NA,NA,NA,9/6/2023,Control,3619,3433,1,2023-09-07T00:00:00.000Z,2,3,5,3,4,5,4,3,4,3,4,5,4,4,5,2.5,3.5,5
5,391,NA,NA,NA,9/6/2023,Control,5206,3478,1,2023-09-07T00:00:00.000Z,5,1,1,NA,1,1,7,7,6,7,6,7,7,6,6,NA,1,1
6,565,NA,NA,NA,9/6/2023,Control,1547,3403,1,2023-09-07T00:00:00.000Z,3,1,1,3,1,1,5,7,5,4,4,4,7,6,4,3,1,1
9,682,4,I like the technique of focused breathing and I think it will help me with dealing with stressful situations from school.,If I ever feel stressed while thinking about school work or social interactions at school I can use focused breathing to calm myself.,9/6/2023,Value,6123,3535,1,2023-09-07T00:00:00.000Z,2,1,3,3,1,2,4,6,2,4,5,6,1,3,1,2.5,1,2.5
10,481,NA,NA,NA,9/6/2023,Control,9299,3604,1,2023-09-07T00:00:00.000Z,3,2,2,4,1,2,3,5,5,6,4,5,3,5,5,3.5,1.5,2
11,1171,5,I think the exercise was nice,I can apply it by separating mysekf from my thoughts so they dont have an effect on me,9/6/2023,Choice,6054,3301,0,2023-09-07T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,667,NA,NA,NA,9/6/2023,Control,4557,3775,1,2023-09-07T00:00:00.000Z,2,3,3,2,2,1,4,3,3,4,4,4,4,4,3,2,2.5,2
15,670,3,I think the visualization exercises we definitely vivid and the process of visualization in itslef is an effective distration from the heat of the moment but i think emotions are often whole body experiences and its difficult to separate yourself from them like that,When I start to feel overwhelmed I can close my eyes and practice one of these visualization techniques as the only tool I need is my own imagination ,9/6/2023,Choice,6298,3355,1,2023-09-07T00:00:00.000Z,2,1,3,2,1,3,3,3,3,3,4,4,3,2,3,2,1,3
16,1770,4,Today's exercise was alright. Nothing that I strongly liked or disliked as it was a small practice.,"I can use this mindfulness practice to calm myself whenever there is some distressing event or thought that is preoccupying my mind. If there is something that I feel is negatively affecting me and making me feel a negative way to an intense degree, this mindfulness practice can help me calm down and remind myself that the stressor only affects me as much as I let it.",9/6/2023,Value,8827,3280,1,2023-09-07T00:00:00.000Z,3,1,2,4,1,2,1,7,4,4,5,4,5,4,4,3.5,1,2
