,WB_changes_open,WBDefinition,Happiness_Change,LifeSatisfaction_Change,PhysicalHealth_Change,MentalHealth_Change,MeaningPurpose_Change,CharacterVirtue_Change,SocialRelationships_Change,Financial_Change,Spirituality_Change,Education_Change,Employment_Change,Recreation_Change,SelfEsteem_Change,Family_Change,Safety_Change,Group_top3,Happiness_Rank,LifeSatisfaction_Rank,PhysicalHealth_Rank,MentalHealth_Rank,MeaningPurpose_Rank,CharacterVirtue_Rank,SocialRelationships_Rank,Financial_Rank,Spirituality_Rank,Education_Rank,Employment_Rank,Recreation_Rank,SelfEsteem_Rank,Family_Rank,Safety_Rank,Other_YesNo,Other_top3,Study_Rating,MindfulnessChanges_open,StressChanges_open,StudyExpectation_open,ChangesWithinSelf_open,Suggestions_open,Chatbot_supportive,Chatbot_easy,Chatbot_efficient,Chatbot_clear,Chatbot_exciting,Chatbot_interesting,Chatbot_inventive,Chatbot_leadingedge,Chatbot_Rating,Chatbot_LikeDislike,Study_supportive,Study_easy,Study_efficient,Study_clear,Study_exciting,Study_interesting,Study_inventive,Study_leadingedge,PSS,CatchQuestions,ERQ,MPoD,SRI,PositiveMood,NegativeMood,WellbeingRating,Reappraisal,DC_awareness,DC_nonreactivity,DC_disidentification,Mindful_skill,SWLS,Extraversion,Agreeableness,Conscientiousness,Neuroticism,OpennesstoExperience,FFMQ15,FFMQ_Observing,FFMQ_Describe,FFMQ_ActingwAwareness,FFMQ_NonJudging,FFMQ_Nonreactivity,Autonomy,Competence,Relatedness,Meaning_Presence,Meaning_Search,Synchronicity,Condition,RandomID,id,BaselineDate,Time
3,"i dont think it has changed very much, though i think i have a clearer of understanding of what it truly means","wellbeing means how i see myself in my everday life. How i think, how i feel, and how i view others. Also, whether i find peace in thing i care about and how i handle whenever i do get stressed",4,3,3,3,2,3,4,4,3,3,3,3,4,4,3,"Mental Health,Close Social Relationships,Character and Virtue",NA,NA,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,5,"my understanding did change. Mindfulness means how aware i am with my surroundings, my thoughts, and how i manage those things ","My understanding of stress. Now, stress means anything that disrupts my awareness of myself and others. Whether it’d be thoughts, things, or people","I initially went into thing study clueless, but i actually learned something about being aware and knowing where my state of mind is at this point in my life","Nothing really changed while i was participating in this study. However, i now havw a clearer understanding of my mindfulness",None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,6,4,5,5,5,4,36,3,22,59,32,36,19,5,54,18,20,21,4,14,6,3,6,8,7,45,10,10,10,8,7,11,9,15,20,28,4,Control,7701,3601,9/6/2023,2
4,Probably not much. From the beginning I was already doing quite well.,Well-being still holds the same meaning to me as it did at the beginning of this experiment.,3,3,4,4,3,3,4,3,3,4,3,4,3,4,2,"Mental Health,Spirituality,Close Social Relationships",NA,NA,NA,1,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,No,NA,5,My understanding of mindfulness has not changed since the beginning of the study. I did definitively reflect on certain questions asked within the study but it only reassured me of my answers. Things like how I think of myself with my feelings and actions and thoughts and who I am. ,My understanding of stress has not changed since the beginning of the experiment. Personally I have found and matured in ways of handling stresses in life. But what stress really is has not changed for me.,"This training exercise met all my expectations as I didn’t really have expectations for it, but the little expectations for it were met. However there was one thing that happened which I didn’t think would and that is the reflecting I did on some of the questions that were proposed during the week do study.",I would say the only thing about me that has changed during this experiment is that I reflected on questions I otherwise would not have. Other than that nothing really changed.,Nope. Good luck on ur survey building though.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,6,6,1,2,4,1,43,3,28,71,34,41,16,7,62,25,22,24,5,17,7,9,6,5,8,53,15,8,8,9,13,14,11,15,29,31,36,Control,4609,3583,9/6/2023,2
5,"The questions asked each morning allowed me to reflect on how sad I really am most of the time. Going forward, I want to try harder to separate myself from my negative emotions and look at experiences more positively. This study has improved my wellbeing through the reflection questions asked.","Ability to have negative thoughts but not let them control you, ability to be positive and think positively, and to handle stressful situations well, while still being happy.",4,3,3,4,3,3,3,3,4,3,3,3,3,3,3,"Self-esteem,Mental Health,Life Satisfaction",NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,No,NA,5,I think it stayed the same. I’ve confirmed that mindfulness does mean the ability to allow negative thoughts to pass without affecting you strongly. ,"My understanding of stress has changed a little. Now, I understand that mindfulness can be a weapon against stress, by practicing having stressful thoughts but not physically reacting to them.","I expected a bit more than just the colouring pages, such as guided meditation or breathing exercises.","I do not think I noticed much, except being more aware of my own depression, which is the first step towards healing.",The colouring book does not work properly on non-PC devices!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,7,5,6,6,4,4,37,3,34,69,42,34,23,5,76,20,22,27,3,10,4,9,8,6,9,45,10,12,7,9,7,12,13,6,14,25,9,Control,9832,3406,9/6/2023,2
6,I definitely feel better now because of the exercises that I learnt.,"Wellbeing still means the same to me. To be comfortable with yourself and your life. However, what has changed is now I know ways which would help me feel calm and put my thoughts together.",3,4,3,4,4,3,4,3,3,4,3,3,3,3,3,"Family,Spirituality,Education",NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,1,NA,No,NA,7,It did not really change. But I have better mindfulness skills now.,My understanding of stress did a change a little. That only you perceive something is out of your control only then it causes stress.,It has met my goals and expectations. I expected that it would teach me a couple techniques to calm myself down and concentrate better which it did.,"I was impulsive before. But, now I feel like i think before reacting or taking decisions.",It was awesome!,7,7,7,7,7,7,7,7,6,I loved the chatbot. It always gave me helpful replies.,NA,NA,NA,NA,NA,NA,NA,NA,30,3,32,99,42,44,19,6,74,30,35,34,5,21,9,9,8,4,6,49,5,12,14,14,4,15,15,15,33,17,8,Domain,8671,3751,9/6/2023,2
7,"I wouldn't say my wellbeing changed as a result of this study, but overall it has gotten worse (mental illness))","Wellbeing refers to the level of emotional, mental, physical, comfort a person has",2,4,3,2,4,3,3,3,3,3,3,2,3,3,3,"Mental Health,Close Social Relationships,Character and Virtue",NA,NA,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,7,It changed because I realized there were small things I could fo to practice mindfulness and it didn't have to be a big life change,"It has not changed, when I feel stressed, which is most of the time, I feel overwhelmed and defeated.",The training has met my goals and expectations very well,I wouldn't say anything changed as a result of the study,some questions were repetitive ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,7,7,2,4,4,4,62,3,18,36,24,21,41,2,42,10,11,15,3,4,7,4,4,10,5,36,9,8,8,3,8,15,10,15,23,29,1,Control,3046,3322,9/6/2023,2
8,"The external events in my life got harder, so I think my well-being did not improve much because of more external stressors. However, I do think I have a better attitude toward my emotions and how I am able to control them","To me, well-being still means achieveing a balance across the important domains of life (family, heatlth, achievement..etc) I do think I will now place more emphasis on emotional well being and emotional control as one of the domains, or as a n important subsection to health.,",4,4,3,4,3,4,3,3,3,3,3,3,4,3,3,"Meaning  and Purpose of Life,Close Social Relationships,Life Satisfaction",NA,3,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,6,Changed by having more emphasis on seeing emotions as transient and unimportant when contributing to our core sense of self,"I think now I associate stress more strongly with not being able to control your emotions, rather than not being able to control your situations",It was pretty similar to what I expected to be honest. ,I liked that I had a bit more ritual by doing daily meditations,"I think you should have different meditations for each category. they can straddle the same themes very closely, but it would be more engaging to have more example",5,6,3,3,4,4,4,4,4,"They talk too much. I could just say ""thank you"" and they would go on a small tangent about gratitude and their how they are glad I enjoyed the study. It isnt very natural in what are supposed to be quick back and forth interactions",NA,NA,NA,NA,NA,NA,NA,NA,43,3,25,69,31,41,29,5,56,22,21,26,4,19,6,6,10,5,7,51,8,10,13,11,9,13,11,15,30,30,26,Choice,6646,3682,9/6/2023,2
11,I believe I now think about how i can change my train of thought to make me feel more positive which has changes my wellbeing a little.,To me it means the sense of being in a comfortable state,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,"Life Satisfaction,Physical Health,Safety",NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,No,NA,6,My understanding of mindfulness did not change. The idea that mindfulness is the sense of being comfortable was confirmed. ,My understanding of stress did not change. I still believe that stress is a state where you are not comfortable.,The training has taught me a way to calm my mind which is what i expected coming into this study.,The training has shown me things that i should think about when thinking of my wellbeing. ,n/a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,7,7,5,5,6,5,40,3,33,78,29,34,22,5,62,25,25,28,5,13,6,9,8,7,5,51,12,9,11,9,10,9,10,10,24,26,1,Control,7294,3496,9/6/2023,2
12,"not an ton, but enough that i notice a difference in the way i process my stress",wellbeing is feeling in line with your thoughts and emotions and doing things to better the alignment of the two when they fall out of line,4,4,4,4,4,3,4,3,3,3,3,4,4,4,3,"Mental Health,Self-esteem,Safety",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,No,NA,6,"my understanding of ""mindfulness"" changed slightly in the way that i feel as thought I have a stronger understanding ","my understanding of ""stress"" did not change much, instead it confirmed my knowledge of what stress feels like in my body",the training met my goals and expectations in full extent. i expected it to go the way it has,I feel as though through this study my conciousness of my wellbeing and thoughts has gotten stronger,if i had any suggestions for this experience it would be to put at least 5 options within the chat to focus on for the day as three for 7 days gets quite repetitive ,7,7,7,7,4,5,5,5,6,my overall impression of the chat bot is that it just felt like  most AI programs. i had no real feelings on it as Im aware its artificial and thus cna't connect with it ,NA,NA,NA,NA,NA,NA,NA,NA,29,3,32,83,37,46,29,6,69,25,25,33,6,16,3,8,7,5,10,55,13,15,8,9,10,15,15,15,31,18,33,Choice,3790,3475,9/6/2023,2
13,"I feel like I became more comfortable, healthy and happier in life and had made some strong connections with other people",wellbeing means the quality of life which refers to what is intrinsically valuable to me relative to someone. So the well-being is what is ultimately good for oneself.,4,4,5,5,4,4,5,4,4,4,3,4,4,4,4,"Life Satisfaction,Family,Mental Health",NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,No,NA,7,"yes, it made me realize that I just have to take a step back and focus on calming activities such as colouring","In a way yes, it allowed me to notice that stress starts from not being mindful enough ",it allowed me to become more mindful and allows me to everyday reflect on how i am feeling ,I was able to notice my own feelings and how I feel everyday because I would respond to the surveys daily,maybe add different activities everyday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,7,7,7,7,7,7,44,3,27,70,27,36,26,6,54,23,22,25,6,17,5,8,8,10,10,39,9,8,6,7,9,9,9,9,23,28,15,Control,1774,3487,9/6/2023,2
14,"I don't think it has, maybe a slight improvement "," I think it means generally the same thing, but perhaps more a sense of connection to your body, mind and life",4,3,3,2,3,3,2,3,3,3,3,3,3,3,3,"Safety,Close Social Relationships,Meaning  and Purpose of Life",NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,1,No,NA,4,"I think my idea of mindfulness stayed the same, this study confirmed that mindfulness is about being present both in your body and in the moment  ","I think my idea of stress stayed the same, perhaps more now I understand and appreciate the physical aspects of how stress effects and conquers the body ",I think I expected this training to be a little more effective and less repetitive ,"I don't think much change, perhaps when I was experiencing emotions I was more aware of their effect on my body ",N/A,4,5,4,4,2,3,3,3,4,I think it was great but it often finished sentences I had not completed on my behalf or did not respond accurately to what I had said ,NA,NA,NA,NA,NA,NA,NA,NA,44,3,19,53,18,26,33,5,37,18,17,18,3,12,5,7,6,8,8,45,9,10,9,9,8,9,11,9,25,25,1,Choice,6298,3355,9/6/2023,2
